,r2_train,RMSE_train,MAE_train,r2_test,RMSE_test,MAE_test
PLS,0.9782753015173775,6.9455571966959155,5.470877418487478,0.4961753516007531,45.04228448893541,20.81470990306743
SVR,0.9792602430348923,6.786284221918931,3.3379491789723867,0.8130626792001941,27.436500143297575,20.162174077802614
DT,0.9443642510070244,11.114941540044034,7.7820175438596495,0.4598005386808217,46.63991791730913,33.25766666666666
RF,0.97299088284413,7.74435776189784,5.361415839598987,0.6592061584004886,37.04474188432054,25.73433619047619
GPR,0.0007385254150744647,47.10530122035733,38.960159452050554,-0.3156482735195496,72.78646105844093,57.497975676408714
LWPLS,-64.04881691747475,380.05803130620416,377.2473684216728,-42.1425736936226,416.80577614957616,412.10622736936705
Lasso,0.926290499573196,12.793575816369467,10.736102514847977,-0.08612824960267051,66.13346212095018,30.424914214227567
Ridge,0.9962697231271206,2.87806598779632,2.3786597260579647,0.7291105419360939,33.02758023001326,18.724618681444007
ElasticNet,0.928466826487347,12.60329087527702,10.710010413984055,0.005177754960514758,63.292674549295675,28.702874717874927
LightGBM_optuna,-2.220446049250313e-16,47.12270509191992,38.975900320621456,-0.3165476122711779,72.81133415848615,57.510000000000005
LightGBM_default,-2.220446049250313e-16,47.12270509191992,38.975900320621456,-0.3165476122711779,72.81133415848615,57.510000000000005
XGBoost_optuna,0.9977275867492142,2.2463316169449845,1.7704964085629102,0.5186661802995328,44.02545901910151,27.582934570312496
XGBoost_default,0.9999537990514802,0.32029905638377426,0.10907721268503678,0.7295007275961876,33.00378540950381,21.13509948730468
GBDT_optuna,0.9412599038366485,11.420826655016825,9.028495868727632,0.5816859765595233,41.042321310025876,31.29543299079911
GBDT_default,0.999953544119656,0.32118152844327036,0.11955604851618623,0.6611602471366578,36.938383185069384,22.6047081261623
CatBoost_optuna,0.9999232389797544,0.4128578841126937,0.29946793343255923,0.8006175465103857,28.335062307901264,20.184532031451482
CatBoost_default,0.9999529502835092,0.3232278092524581,0.13324972646799288,0.6823963161819566,35.762137576556356,24.57196931987455
DNN,0.9479585120575408,10.749915881178262,8.430198267886512,0.3533158848794038,51.03014480009884,31.269911499023426
