,BoilingPoint,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,BertzCT,Chi0,Chi0v,Chi1,Chi1n,Chi1v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA5,SlogP_VSA2,SlogP_VSA5,TPSA,EState_VSA2,EState_VSA5,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState3,VSA_EState4,VSA_EState6,VSA_EState7,VSA_EState8,HeavyAtomCount,NHOHCount,NumHDonors,MolLogP,MolMR,fr_Al_OH,fr_Al_OH_noTert,fr_benzene
sample_108,434,8.909166667,0.03587963,8.909166667,0.03587963,0.486324884,100.161,88.065,100.088815,42,0.053984775,-0.393131382,0.393131382,0.053984775,1,1.571428571,16.26580617,9.981987147,2.07132817,-2.140364427,2.157992144,-2.094135332,4.611711079,0.130074353,46.14170945,5.112884175,4.560097771,3.39384685,3.074695471,3.074695471,1.574695471,1.574695471,1.081038718,1.081038718,-0.04,47.19725257,5.103678161,2.31410722,1.475062751,44.3523642,5.106527395,19.26246487,12.84164325,0,6.103966388,5.106527395,38.2080745,11.21049378,32.10410811,20.23,6.103966388,19.26246487,0,5.106527395,0,8.909166667,0,0,5.924166667,0,7,1,1,1.3114,29.0918,1,1,0
sample_109,400.9,10.20263889,0.307268519,10.20263889,0.307268519,0.527852924,100.161,88.065,100.088815,42,0.129339773,-0.300031025,0.300031025,0.129339773,1.571428571,2.142857143,16.13716731,10.19393893,1.869658924,-1.861139901,1.921162011,-1.861067763,5.747844212,-0.116612303,57.20035948,5.698670613,5.029568634,3.27005561,2.764784317,2.764784317,0.882392159,0.882392159,0.425722174,0.425722174,-0.33,29.01955001,6.67,3.846366843,5.67,44.7254837,4.794537184,13.34455882,13.34455882,6.420821623,0,4.794537184,33.10993927,5.783244946,33.10993927,17.07,0,0,6.9237372,0,0,0,0,0,2.935925926,3.720833333,7,0,0,1.7656,30.206,0,0,0
sample_11,330.1,9.256944444,-0.99537037,9.256944444,0.111111111,0.405179006,73.071,68.031,73.02950298,30,0.041108964,-0.550182865,0.550182865,0.041108964,2,2.2,16.36502672,10.52003318,1.65056599,-1.86666436,1.614693451,-2.194944238,5.630180646,-0.304740239,40.15772188,4.28445705,3.023603362,2.27005561,1.468908462,1.468908462,0.288675135,0.288675135,0,0,-0.53,9.651484454,4.47,1.758184438,3.47,30.42489111,9.901064579,6.9237372,6.420821623,5.969305288,0,9.901064579,13.34455882,5.969305288,13.34455882,40.13,6.420821623,6.9237372,0,0,0,9.256944444,0,0,0.111111111,1.537037037,5,0,0,-0.8537,15.298,0,0,0
sample_110,389.6,10.25416667,0.287037037,10.25416667,0.287037037,0.515019317,100.161,88.065,100.088815,42,0.129595121,-0.300019963,0.300019963,0.129595121,1.571428571,2,16.13721582,10.09759915,1.948078796,-1.951296226,1.972882718,-1.949506613,5.750462716,-0.117164907,64.58027135,5.86180732,5.192705341,3.125897658,2.620626365,2.620626365,0.695705769,0.695705769,0.574914957,0.574914957,-0.33,19.09358393,6.67,2.779490232,5.67,44.7254837,4.794537184,13.8474744,12.84164325,6.420821623,0,4.794537184,27.19203322,5.783244946,27.19203322,17.07,5.783244946,0,0,0,0,0,0,0,0.722222222,5.711111111,7,0,0,1.6215,30.136,0,0,0
sample_111,394.6,10.42083333,-0.087962963,10.42083333,0.087962963,0.520098668,116.16,104.064,116.0837296,48,0.305256806,-0.465969335,0.465969335,0.305256806,1.5,2.125,16.53178075,10.34407358,1.948338032,-1.958031775,1.886098828,-2.013585663,5.685956047,-0.142615289,60.92878689,6.405777394,5.437816924,3.808060412,2.964690378,2.964690378,0.75944935,0.75944935,0.437280567,0.437280567,-0.53,50.25226451,7.47,4.624559505,3.652815356,49.83902893,4.736862954,6.9237372,13.34455882,6.420821623,6.606881965,9.531400138,26.68911765,12.57618725,26.68911765,26.3,5.969305288,0,4.736862954,0,4.643333333,0,0,0,1.423287037,4.267175926,8,0,0,1.3496,31.541,0,0,0
sample_112,467,10.16157407,-0.671296296,10.16157407,0.12962963,0.606401006,116.16,104.064,116.0837296,48,0.305965805,-0.481026717,0.481026717,0.305965805,1.5,1.875,16.36643606,10.05002057,2.09726592,-2.020873588,2.051798479,-2.098741959,5.691799932,-0.141412452,74.59772061,6.568914101,5.347025718,3.718744015,2.947116221,2.947116221,1.334839412,1.334839412,0.637915987,0.637915987,-0.53,47.19725257,7.47,3.469267037,1.958669538,49.51971745,5.106527395,13.8474744,12.84164325,0,5.917906046,9.901064579,26.68911765,11.07583268,26.68911765,37.3,5.917906046,0,0,5.106527395,0,8.373240741,0,0,1.483796296,3.782314815,8,1,1,1.5072,31.7078,0,0,0
sample_113,478.9,9.87412415,-0.681990741,9.87412415,0.327222222,0.566873204,116.16,104.064,116.0837296,48,0.302839555,-0.48123039,0.48123039,0.302839555,1.5,2.125,16.36511716,10.19296976,1.922593033,-1.892948636,1.9665586,-1.921055214,5.660110532,-0.136644141,68.92878689,6.405777394,5.183889011,3.77005561,2.988391115,2.988391115,0.994195557,0.994195557,0.526225725,0.526225725,-0.53,48.27551104,7.47,4.624559505,5.47,49.51971745,5.106527395,19.76538045,6.420821623,6.420821623,0,9.901064579,32.60702369,11.07583268,32.60702369,37.3,0,0,6.9237372,5.106527395,0,8.140104875,0,0,3.277037037,2.057391345,8,1,1,1.6513,31.7778,0,0,0
sample_114,389.8,10.12597222,-0.195648148,10.12597222,0.195648148,0.506664867,116.16,104.064,116.0837296,48,0.302132686,-0.465604426,0.465604426,0.302132686,1.625,2.125,16.53198487,10.24242111,1.941144237,-2.018597533,1.907625352,-2.049352701,5.653417432,-0.141489527,76.59772061,6.568914101,5.600953631,3.625897658,2.759872254,2.759872254,0.619929799,0.619929799,0.284020691,0.284020691,-0.53,40.33920395,7.47,3.469267037,5.47,49.83902893,4.736862954,13.8474744,5.917906046,6.9237372,6.606881965,9.531400138,20.7712116,12.57618725,20.7712116,26.3,5.969305288,6.9237372,4.736862954,0,4.664351852,0,0,0,0,5.961898148,8,0,0,1.2055,31.471,0,0,0
sample_115,407.6,5.634722222,0.53587963,5.634722222,0.53587963,0.486084459,99.177,86.073,99.10479942,42,0.003877844,-0.327711754,0.327711754,0.003877844,1,1.571428571,14.61972571,9.965440672,2.057345047,-2.15138452,2.142230262,-2.215536894,4.656433701,0.441315396,46.14170945,5.112884175,4.690234444,3.39384685,3.149829914,3.149829914,1.649829914,1.649829914,1.134166792,1.134166792,-0.04,47.19725257,5.103678161,2.31410722,1.475062751,44.89802114,5.733667477,19.26246487,12.84164325,6.041840829,0,0,38.14594894,6.041840829,32.10410811,26.02,0,32.10410811,0,5.733667477,0,0,5.634722222,0.53587963,6.662731481,0,7,2,1,1.2778,31.0604,0,0,0
sample_116,322.9,2.243055556,0.541666667,2.243055556,0.541666667,0.424482056,86.178,72.066,86.10955045,38,-0.038523118,-0.064883361,0.064883361,0.038523118,1.166666667,1.333333333,14.08746395,9.938033219,2.027634076,-2.121839814,2.156155175,-1.996399463,4.547798331,0.39760394,29.7931939,5.207106781,5.207106781,2.560660172,2.560660172,2.560660172,1.060660172,1.060660172,0,0,0,12.16479704,6,1.632653061,4,40.5639616,0,34.11577042,5.414990469,0,0,0,34.11577042,0,34.11577042,0,0,6.420821623,27.6949488,0,0,0,0.541666667,0,1.270833333,8.9375,6,0,0,2.4425,29.746,0,0,0
sample_117,331.1,2.240740741,0.851851852,2.240740741,0.851851852,0.459028278,86.178,72.066,86.10955045,38,-0.044812659,-0.062529132,0.062529132,0.044812659,0.666666667,0.833333333,14.01333452,10.012,1.951629084,-2.049741469,2.052015963,-1.9524813,4.459075191,0.456972857,21.01955001,5.154700538,5.154700538,2.64273441,2.64273441,2.64273441,1.333333333,1.333333333,0,0,0,13.60964047,6,2.222222222,2.25,40.5639616,0,27.6949488,11.83581209,0,0,0,27.6949488,0,27.6949488,0,0,0,27.6949488,0,0,0,0,0,0,8.962962963,6,0,0,2.2984,29.676,0,0,0
sample_118,341.9,2.231805556,1.355,2.231805556,1.355,0.462954281,86.178,72.066,86.10955045,38,-0.053578702,-0.065382385,0.065382385,0.053578702,0.833333333,1.166666667,13.81562221,10.2098642,1.748868474,-1.85689882,1.948722205,-1.657035798,4.307622205,0.701864202,12,4.828427125,4.828427125,2.914213562,2.914213562,2.914213562,0.957106781,0.957106781,0.5,0.5,0,20.98630086,6,5,4,40.5639616,0,39.53076089,0,0,0,0,39.53076089,0,39.53076089,0,0,25.68328649,13.8474744,0,0,0,0,0,5.536388889,4.463611111,6,0,0,2.5866,29.816,0,0,0
sample_119,333.4,2.253472222,0.898148148,2.253472222,0.898148148,0.483890298,86.178,72.066,86.10955045,38,-0.047142635,-0.065372598,0.065372598,0.047142635,1.333333333,1.833333333,13.91556205,10.10992304,1.851316607,-1.954342432,1.999086728,-1.811609039,4.382863992,0.576003154,21.21928095,4.991563832,4.991563832,2.77005561,2.77005561,2.77005561,0.866025404,0.866025404,0.577350269,0.577350269,0,14.83446686,6,3.2,4,40.5639616,0,33.61285484,5.917906046,0,0,0,33.61285484,0,33.61285484,0,0,12.84164325,20.7712116,0,0,0,0,0,2.706018519,6.729166667,6,0,0,2.4425,29.746,0,0,0
sample_12,414.3,9.368055556,-0.74537037,9.368055556,0.222222222,0.490844666,74.079,68.031,74.03677943,30,0.302558437,-0.481237917,0.481237917,0.302558437,2,2.2,16.36502672,10.52003318,1.803877692,-1.714254962,1.667124145,-1.864859568,5.655632416,-0.136112346,40.15772188,4.28445705,3.062568667,2.27005561,1.488391115,1.488391115,0.30245145,0.30245145,0,0,-0.53,9.651484454,4.47,1.758184438,3.47,30.42489111,5.106527395,6.9237372,0,6.420821623,0,9.901064579,13.34455882,11.07583268,13.34455882,37.3,6.420821623,0,0,5.106527395,0,7.722222222,0,0,0.222222222,1.599537037,5,1,1,0.481,17.9268,0,0,0
sample_120,336.4,2.277777778,0.935185185,2.277777778,0.935185185,0.483890298,86.178,72.066,86.10955045,38,-0.04480471,-0.065128474,0.065128474,0.04480471,1.166666667,1.5,13.94521522,10.08009591,1.881936683,-1.983213103,2.023363028,-1.845444988,4.410076597,0.544063929,19.21928095,4.991563832,4.991563832,2.808060412,2.808060412,2.808060412,1.39384685,1.39384685,0.288675135,0.288675135,0,19.80026906,6,3.2,2.25,40.5639616,0,33.61285484,5.917906046,0,0,0,33.61285484,0,33.61285484,0,0,12.84164325,20.7712116,0,0,0,0,0,2.659722222,6.738425926,6,0,0,2.4425,29.746,0,0,0
sample_121,341.5,5.25,0.375,5.25,0.375,0.51644113,102.177,88.065,102.1044651,44,0.052185621,-0.376143676,0.376143676,0.052185621,0.857142857,1.142857143,16.49500987,10.40764754,1.936106484,-2.088667911,1.926705035,-2.088649795,4.396943928,0.029985942,33.44467836,5.86180732,5.562948829,3.125897658,2.780805598,2.780805598,0.544331054,0.544331054,0.544331054,0.544331054,-0.04,19.09358393,6.96,3.026851632,5.96,45.67750683,4.736862954,0,27.6949488,0,12.20793278,4.736862954,39.90288157,12.20793278,27.6949488,9.23,0,0,0,4.736862954,5.25,0,0,0,0.75,8.166666667,7,0,0,1.8198,31.357,0,0,0
sample_122,362.8,5.131944444,0.924444444,5.131944444,0.924444444,0.491869888,102.177,88.065,102.1044651,44,0.04629007,-0.381474012,0.381474012,0.04629007,1,1.428571429,16.47275948,10.49070475,1.774252674,-1.948960976,1.810103765,-1.917563926,4.247448375,0.135272616,23.3609904,5.535533906,5.236675415,3.414213562,2.991563832,2.991563832,0.696923425,0.696923425,0.390737207,0.390737207,-0.04,35.50960993,6.96,5.96,5.96,45.67750683,4.736862954,13.8474744,12.84164325,13.21376393,0,4.736862954,26.68911765,13.21376393,26.68911765,9.23,0,0,13.8474744,4.736862954,5.131944444,0,0,0,2.277777778,6.090277778,7,0,0,1.823,31.401,0,0,0
sample_123,376.8,10.61194822,-1.114027778,10.61194822,0.016018519,0.550121797,180.159,172.095,180.0422587,68,0.339003787,-0.477539527,0.477539527,0.339003787,1.307692308,1.923076923,16.53611122,10.18228238,2.104306981,-2.031132092,2.169834557,-2.063000062,5.913065796,-0.131414342,343.2228677,9.844934983,6.981359544,6.109060905,3.617453648,3.617453648,1.371154665,1.371154665,0.887171219,0.887171219,-1.84,729.6807529,9.249605735,3.709251258,2.297415033,74.75705264,9.843390349,12.13273414,12.13273414,6.9237372,0,19.43246472,6.9237372,17.04513797,17.28172588,63.6,11.31296332,19.05647134,4.736862954,5.106527395,4.686898148,8.687243008,-0.016018519,5.978792517,0,1.220863568,13,1,1,1.3101,44.7103,0,0,1
sample_124,357.2,3.305555556,0.625,3.305555556,0.625,0.553986563,101.193,86.073,101.1204495,44,0.001268865,-0.312334426,0.312334426,0.001268865,0.857142857,1.142857143,14.91322627,10.30248587,1.919384418,-2.095466907,1.803504604,-2.289913409,4.552986895,0.517965423,33.44467836,5.86180732,5.654700538,3.125897658,2.886751346,2.886751346,0.666666667,0.666666667,0.666666667,0.666666667,-0.04,19.09358393,6.96,3.026851632,5.96,46.11382378,5.316788604,27.6949488,0,12.08368166,0,0,39.77863046,12.08368166,27.6949488,12.03,0,0,33.0117374,0,0,3.305555556,0,1.25,0,8.611111111,7,1,1,1.3928,33.4077,0,0,0
sample_125,382,3.284722222,1.174444444,3.284722222,1.174444444,0.527646237,101.193,86.073,101.1204495,44,-0.005155142,-0.31675343,0.31675343,0.005155142,1,1.428571429,14.83541158,10.41869849,1.76119869,-1.951779232,1.711169928,-2.140657068,4.394448741,0.661635385,23.3609904,5.535533906,5.328427125,3.414213562,3.121320344,3.121320344,0.853553391,0.853553391,0.478553391,0.478553391,-0.04,35.50960993,6.96,5.96,5.96,46.11382378,5.316788604,13.8474744,25.93115606,0,0,0,26.68911765,13.08951281,26.68911765,12.03,0,25.93115606,19.164263,0,0,3.284722222,0,0,2.5,6.715277778,7,1,1,1.396,33.4517,0,0,0
sample_126,451.9,10.00648148,0.729166667,10.00648148,0.729166667,0.495636268,106.124,100.076,106.0418648,40,0.149548029,-0.297896412,0.297896412,0.149548029,1.125,1.75,16.12891862,10.23603213,1.794730721,-1.814861063,1.909959326,-1.725086234,5.737575003,0.111834695,167.001517,5.819990956,4.372349906,3.931851653,2.435060998,2.435060998,0.935655255,0.935655255,0.531606339,0.531606339,-1.11,91.36757728,5.035137881,2.262450086,0.936277399,47.95786733,0,30.33183534,0,5.563451492,0,4.794537184,0,6.286160523,10.35798868,17.07,0,0,0,0,0,0,0.729166667,9.097685185,0.833333333,0,8,0,0,1.4991,31.8295,0,0,1
sample_127,522.4,10.20092593,-0.879074074,10.20092593,0.331018519,0.610603539,122.123,116.075,122.0367794,46,0.335178235,-0.477639251,0.477639251,0.335178235,1.222222222,1.777777778,16.36552806,10.2158578,1.960773903,-1.876559698,1.95538299,-1.930628591,5.868348678,0.069666741,203.4159526,6.690234444,4.742213232,4.304530453,2.588414546,2.588414546,1.020739643,1.020739643,0.580729834,0.580729834,-1.31,129.2253387,5.820039012,2.306763636,1.287705032,52.75210109,5.106527395,18.19910121,12.13273414,0,5.563451492,9.901064579,0,11.07583268,10.35798868,37.3,0,0,0,5.106527395,0,8.384814815,0.331018519,8.295648148,0,0,9,1,1,1.3848,33.4013,0,0,1
sample_128,383.8,2.083333333,1.321759259,2.083333333,1.321759259,0.45880628,92.141,84.077,92.06260026,36,-0.039774526,-0.062249086,0.062249086,0.039774526,1,1.571428571,13.78210528,10.24462622,1.7152547,-1.822323872,1.916278996,-1.622155593,5.111827209,1.475756642,129.9656602,5.112884175,4.386751346,3.39384685,2.410683603,2.410683603,0.940455735,0.940455735,0.534377897,0.534377897,-0.78,47.19725257,4.380771704,1.78328604,1.038264132,43.79634523,0,35.89528683,6.9237372,0,0,0,6.9237372,0,5.563451492,0,0,5.563451492,19.05647134,0,0,0,1.321759259,10.26157407,0,2.083333333,7,0,0,1.99502,31.179,0,0,1
sample_129,477.9,8.537592593,0.139722222,8.537592593,0.139722222,0.572343612,108.14,100.076,108.0575149,42,0.06813694,-0.391680468,0.391680468,0.06813694,1.125,1.75,16.2502435,10.22648003,1.806301482,-1.887328947,1.949100336,-1.772683675,5.124430983,0.281609266,145.7328145,5.819990956,4.541071723,3.931851653,2.580464759,2.580464759,1.025398848,1.025398848,0.583419827,0.583419827,-0.82,91.36757728,5.319275766,2.478228729,1.073981897,48.59057899,5.106527395,30.33183534,5.563451492,0,6.606881965,5.106527395,6.606881965,5.106527395,5.563451492,20.23,6.606881965,0,0,5.106527395,0,8.537592593,0.965277778,9.524074074,0,0.139722222,8,1,1,1.1789,32.3648,1,1,1
sample_13,344.1,3.248263889,1.131944444,3.248263889,1.131944444,0.465988151,122.993,115.937,121.9731123,26,0.002862797,-0.09281865,0.09281865,0.002862797,1.75,2,79.91872953,10.59366058,1.582145349,-1.655371313,1.799761563,-1.539329899,9.08886046,1.118197151,5.245112498,3.414213562,4.378174574,1.914213562,1.474368023,2.595836931,0.188982237,0.981980506,0,0,0.48,6.854752972,4.48,3.48,2.48,35.33668286,0,22.8536811,6.420821623,5.330089647,0,0,13.34455882,5.330089647,13.34455882,0,0,6.420821623,22.8536811,0,0,1.131944444,0,0,1.236111111,2.133680556,4,0,0,1.7913,24.085,0,0,0
sample_130,475.4,8.813055556,0.337962963,8.813055556,0.337962963,0.535935436,108.14,100.076,108.0575149,42,0.115339652,-0.507956572,0.507956572,0.115339652,1.375,2.125,16.25465666,10.22455321,1.826185112,-1.894289843,2.078239447,-1.664621632,5.250714755,0.474665185,164.2466295,5.983127663,4.756614672,3.7876937,2.544974003,2.544974003,1.001656402,1.001656402,0.627970249,0.627970249,-0.98,64.0524865,5.162450142,1.864622199,0.997109257,48.59057899,5.106527395,12.13273414,24.61992283,0,0,5.106527395,6.9237372,5.106527395,5.563451492,20.23,0,0,0,5.106527395,0,8.813055556,1.087962963,7.150185185,0,1.944166667,8,1,1,1.70062,32.8438,0,0,1
sample_131,464.1,8.919259259,0.368055556,8.919259259,0.368055556,0.535935436,108.14,100.076,108.0575149,42,0.117979619,-0.507687284,0.507687284,0.117979619,1.25,1.875,16.25527441,10.21459244,1.864690118,-1.917934987,2.117131452,-1.683916199,5.292269352,0.470915195,160.4966295,5.983127663,4.756614672,3.804530453,2.550957067,2.550957067,1.115454155,1.115454155,0.563420527,0.563420527,-0.98,72.49526583,5.162450142,1.864622199,0.808016781,48.59057899,5.106527395,18.19910121,18.55355576,0,0,5.106527395,6.9237372,5.106527395,5.563451492,20.23,0,0,0,5.106527395,0,8.919259259,0.923611111,7.252037037,0,1.87037037,8,1,1,1.70062,32.8438,0,0,1
sample_132,476.6,5.458611111,0.837962963,5.458611111,0.837962963,0.500282,107.156,98.084,107.0734993,42,0.031614018,-0.398720858,0.398720858,0.031614018,1.375,2.125,14.53446499,10.21201373,1.806614773,-1.906127995,2.026064951,-1.820913547,5.393245218,1.474674574,164.2466295,5.983127663,4.886751346,3.7876937,2.61004234,2.61004234,1.042129458,1.042129458,0.67012099,0.67012099,-0.98,64.0524865,5.162450142,1.864622199,0.997109257,49.13623593,5.733667477,12.13273414,24.61992283,5.687386275,0,0,6.9237372,0,5.563451492,26.02,0,5.563451492,0,5.733667477,0,0,7.509537037,7.79962963,0,2.024166667,8,2,1,1.57722,35.5914,0,0,1
