,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_CHGLO,Ipc,Kappa3,PEOE_VSA8,SMR_VSA9,fr_Al_OH_noTert
sample_162,1.625,14.22041489,-2.250176954,35.64737585,2.34375,0.0,0.0,0
sample_163,1.5,14.16363839,-2.194935125,23.0053905,6.0,0.0,0.0,0
sample_164,1.625,14.23602865,-2.265263314,38.33669273,1.851851852,0.0,0.0,0
sample_165,1.666666667,16.47284916,-1.990580851,103.687916,7.96,13.21376393,0.0,0
sample_166,2.333333333,16.25097618,-2.082473119,99.31601295,4.462512563,6.606881965,0.0,1
sample_167,2.6,14.63666362,-1.910524464,348.5704618,0.75988141,11.58306779,0.0,0
sample_168,2.111111111,13.91348653,-1.94275242,129.2253387,1.425448346,0.0,0.0,0
sample_169,2.545454545,16.53210316,-1.987226026,380.1758005,2.075224642,0.0,0.0,0
sample_17,1.333333333,13.42571365,-1.476058244,2.754887502,0.0,0.0,0.0,0
sample_170,1.888888889,13.98379891,-2.011643296,129.2253387,1.562760731,0.0,0.0,0
sample_171,2.333333333,13.94860235,-1.979885628,130.6510251,1.317455005,0.0,0.0,0
sample_172,2.111111111,13.90544354,-1.939181251,129.2253387,1.562760731,0.0,0.0,0
sample_173,1.111111111,13.93108972,-1.96465117,85.75693819,1.562760731,0.0,0.0,0
sample_174,2.333333333,13.9003054,-1.932640245,145.1665367,1.883546785,0.0,0.0,0
sample_175,1.666666667,13.9724152,-2.00364452,109.7375151,1.12568089,0.0,0.0,0
sample_176,2.0,13.94626318,-1.979045687,104.2009193,1.317455005,0.0,0.0,0
sample_177,2.4,16.13770495,-2.266209533,106.4562509,1.693077005,6.420821623,0.0,0
sample_178,2.333333333,14.16479635,-2.197021753,145.1665367,2.380165289,0.0,0.0,0
sample_179,0.888888889,14.25101542,-2.278909671,93.40990953,2.0,0.0,0.0,0
sample_18,1.714285714,16.47275948,-1.948960976,35.50960993,5.96,13.21376393,0.0,0
sample_180,1.222222222,13.91819297,-1.955447537,103.687916,8.0,0.0,0.0,0
sample_181,1.222222222,14.3494641,-2.374959198,49.09358393,2.0,0.0,0.0,0
sample_182,1.357142857,16.52664103,-2.003839301,1533.476531,2.097507874,0.0,0.0,0
sample_183,1.8,14.10849832,-2.133853191,348.5704618,0.94200167,0.0,0.0,0
sample_184,2.4,13.92809457,-1.958948496,251.6671623,2.218872017,0.0,0.0,0
sample_185,1.7,14.15505355,-2.17532697,165.6373293,1.598288066,0.0,0.0,0
sample_186,1.9,14.0042386,-2.031653154,180.9125147,1.598288066,0.0,0.0,0
sample_187,1.9,13.94970206,-1.980727093,235.2901528,1.598288066,0.0,0.0,0
sample_188,1.6,13.99090283,-2.01963005,238.975896,1.381397845,0.0,0.0,0
sample_189,2.2,13.99230107,-2.020736471,195.625462,2.218872017,0.0,0.0,0
sample_19,2.0,16.2498503,-1.689184781,6.854752972,1.96,6.606881965,0.0,1
sample_190,2.4,14.17068049,-2.202318139,251.6671623,2.722222222,0.0,0.0,0
sample_191,1.1,13.93587628,-1.972088862,175.076748,8.0,0.0,0.0,0
sample_192,2.461538462,16.36574791,-2.156998406,590.967043,5.449030487,0.0,0.0,0
sample_193,1.307692308,16.48049519,-2.031129692,1589.71823,2.089799938,0.0,11.49902367,0
sample_194,1.307692308,14.86598216,-2.040031027,1589.71823,2.089799938,11.37477255,0.0,0
sample_195,1.625,16.5384904,-2.069618874,3922.2091,2.823480899,0.0,0.0,0
sample_196,1.583333333,14.07100593,-2.094837504,472.1116866,2.100913936,0.0,0.0,0
sample_197,1.833333333,13.95367087,-1.987733102,488.925094,9.74,0.0,0.0,0
sample_198,0.916666667,13.96040481,-1.994692357,488.925094,10.0,0.0,0.0,0
sample_199,1.461538462,16.47286339,-2.026296278,812.7027727,11.96,13.21376393,0.0,0
sample_2,2.0,16.12840493,-1.372725567,6.854752972,1.41,0.0,0.0,0
sample_20,1.6,16.64767929,-1.872133736,11.2451125,3.92,14.21959508,0.0,0
