,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_CHGLO,Ipc,Kappa3
FpDensityMorgan3,1.0,0.03612495817860346,0.19591773435508825,-0.1307837613844194,-0.12655580717054216
BCUT2D_MWHI,0.03612495817860346,1.0,0.17015908400001428,-0.01400415287939192,-0.01518576620927818
BCUT2D_CHGLO,0.19591773435508825,0.17015908400001428,1.0,-0.09259476200785735,-0.056345206213185506
Ipc,-0.1307837613844194,-0.01400415287939192,-0.09259476200785735,1.0,-0.010940588725055943
Kappa3,-0.12655580717054216,-0.01518576620927818,-0.056345206213185506,-0.010940588725055943,1.0
