,Expected_value_update_width,Estimated_value,std_of_Estimated_value,SMILES
0,14.479384648494106,239.0799312937118,51.63817344083784,CC=CC
1,14.479384648494106,239.0799312937118,51.63817344083784,CC=CC
2,12.942912171380122,240.88376504207687,49.4442965343693,CCCC
3,9.147140005364058,256.2535747024605,52.836888647418846,CCNCC
4,8.312689958193463,259.7564307025502,53.16627838934412,C=CC(C)C
5,7.126696732371924,267.9194152143506,55.65943982202401,C=CCCCCCC
6,6.811260932091955,263.71342748650994,51.45129178844686,C=CCCC
7,5.261620280609142,276.5665423718008,55.14663711383008,CC1CCCCC1
8,4.962174359163232,284.2706584439363,59.1071462242203,Cc1cccc(C)c1C
9,4.961608490792541,280.24304238495404,56.44160464523298,CC=C(C)C
10,4.761190221066119,278.75549776089065,54.64548269185842,CCC(C)CC
11,4.747886144836542,285.28278337983875,58.877114013270074,CCCCCCC
12,4.586136916130785,280.0222636403618,54.76777917185591,C1=CCCC1
13,4.106437129765588,281.3806057731422,53.625166389826255,CCCCN
14,3.9494563887069187,283.2136459717518,54.10506954194829,C=C(C)C
15,3.8523267079717396,284.43724738424925,54.44163463977756,CCCCCCCC
16,3.696263137068552,291.3528331285184,57.999100771415684,C=CC(=O)OCC(C)C
17,3.4746444463738655,286.73239624879795,54.11411478176559,CCOCC
18,3.1874287029629187,289.0981096955476,54.1449925353598,C=CCCC=C
19,3.158906075381374,302.13949239093535,61.6823239900883,CC(=O)c1ccccc1
20,3.0760727475937415,290.2967632580612,54.29639012903373,CCCCCCl
21,2.950086591539776,295.02579646532513,56.41816063564072,CCC=C(C)C
22,2.81330102703558,296.01034141506864,56.245110249320405,CC(C)(C)C
23,2.7750411989094204,299.15638086893887,57.83801686233475,CC(C)=C(C)C
24,2.744204003269516,298.09160841981674,57.05514552282818,CCCCC#N
25,2.7017705562097056,297.94412856915216,56.73070539382007,CC(C)C(C)C
26,2.68510834954293,294.2326539645229,54.51142257654915,CCCNCCC
27,2.561443996910338,304.2134275294989,59.44655699527817,CCCC#N
28,2.4771090521591903,297.50032416663987,55.18075742750341,COCC(C)C
29,2.4151191696036447,288.7819284111115,49.87402173992801,COC(C)C
30,2.0655751145759016,312.66580416277304,60.82711339371601,O=C(O)c1ccccc1
31,2.040334038740685,316.88209338346473,62.876005320713006,Cc1ccc(C)c(C)c1
32,2.0133233526163004,304.7351490149899,56.233333538502066,C1CCCC1
33,1.9611458412161609,312.6023174658132,60.051745498787895,C=C(C)CC(C)(C)C
34,1.9311843852430401,309.562800859008,58.23344068736897,CCCC(C)C(C)C
35,1.857243140222013,305.7203249638902,55.675927900911205,CC(=O)CC(C)=O
36,1.831044116472258,300.4304800656413,52.68218070520056,C=CC(=C)C
37,1.7736902609447531,301.18559112307645,52.683292519514694,CCCC(C)=O
38,1.74883164360228,310.9487046453528,57.623152120918874,CCCC(C)CC
39,1.7450578025430818,300.6306122614401,52.186898922636054,CCCCCCN
40,1.7383577547351194,299.7663249607161,51.68174184979357,CC(=O)CC(C)C
41,1.7115794747663982,308.97155006053487,56.31527540022349,C=CC(C)CC
42,1.7008458200179986,312.4668977882477,58.042627613732996,Cc1cccc(N)c1
43,1.6400655429871058,315.7652918456974,59.2564406779077,CC(C)CC(C)(C)C
44,1.6316378428071703,310.4008025880062,56.44153957265521,C1=CCCC=C1
45,1.5643638130885789,315.93036398906594,58.72564320809003,c1ccccc1
46,1.5368542959563358,303.21574004387367,52.00421422270731,CCC(=O)OC
47,1.5331504989906515,310.690944687991,55.80985018402621,CCC(C)(C)C
48,1.5104510585140858,312.97867340145876,56.787000633609495,CC(C)NC(C)C
49,1.48717267922654,301.6025385174713,50.78885614522614,CCC=COC=CCC
50,1.437302927764808,311.32067402114666,55.34219882370302,CCCCCN
51,1.3688907085866102,316.36284104135126,57.276347710814576,C=C(C)C(C)C
52,1.3245120374968273,302.5665746141583,49.98321882036902,CCCCCl
53,1.3219899255750036,307.7798916157146,52.58727956037306,CCCCC(C)O
54,1.3119332181998011,314.97029594881695,56.078716106370514,C=CCCCCCCCCCCCC
55,1.308813743705488,330.5129088259254,63.64739896375184,Cc1cccc(C)c1O
56,1.3030752403394992,308.13467505211094,52.60231209626924,C=CCCCC
57,1.2583832957013792,316.403188459143,56.29646673914849,CCCC(C)CO
58,1.2493180048726655,312.68700131094903,54.38572302539357,CC(C)O
59,1.2483625463606716,321.62488828408334,58.752298313690545,C=C(C)c1ccccc1
60,1.2296121813244278,317.6490975099044,56.63711652887071,CC(=O)OC(C)C
61,1.2285794255817475,330.0612924209578,62.63065877099637,c1ccc2c(c1)CCCC2
62,1.2231265933931779,316.0529434138188,55.796360543786,C=CCC
63,1.1859269548032252,323.5345493550143,59.066143846039125,CCc1ccc(C)cc1
64,1.1731111757084047,322.37931676350144,58.382227591675985,CCC(CC)C(C)C
65,1.1714031383266725,317.23101010466866,55.87736544993244,Cc1cccnc1
66,1.1596670466411414,322.5878636721358,58.348142954588205,Cc1cccc(O)c1
67,1.1564631568393358,317.19339083587386,55.71411954029797,C1CCNCC1
68,1.1494116799478888,315.29682565516634,54.72637147310054,C1=CCC=C1
69,1.146863743704932,324.68256648571463,59.222993188574094,CC1=CC(=O)CC(C)(C)C1
70,1.1285201618911467,313.68890292168317,53.744303196614965,C=CC(=O)OCC
71,1.1023056441287666,317.01669769069053,55.09467718986569,C=CC(C)(C)C
72,1.0988883812024008,344.99966797220117,68.26752856755694,O=C(OCc1ccccc1)c1ccccc1
73,1.0924310788938003,311.4482333174726,52.308228735125255,CCCCC=O
