,BoilingPoint,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,BertzCT,Chi0,Chi0v,Chi1,Chi1v,Chi2v,Chi3n,Chi3v,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,SMR_VSA1,SMR_VSA9,SlogP_VSA2,TPSA,EState_VSA5,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState3,VSA_EState6,VSA_EState7,VSA_EState8,HeavyAtomCount,NHOHCount,NumHDonors,MolLogP,MolMR,fr_Al_OH,fr_Al_OH_noTert,fr_ether,fr_unbrch_alkane
sample_110,389.6,10.25416667,0.287037037,10.25416667,0.515019317,100.161,88.065,100.088815,42,0.129595121,-0.300019963,0.300019963,0.129595121,1.571428571,2.0,2.0,16.13721582,10.09759915,1.948078796,-1.951296226,1.972882718,-1.949506613,5.750462716,-0.117164907,64.58027135,5.86180732,5.192705341,3.125897658,2.620626365,2.299986098,0.695705769,0.695705769,0.574914957,-0.33,19.09358393,6.67,2.779490232,5.67,44.7254837,4.794537184,13.8474744,12.84164325,6.420821623,4.794537184,0.0,5.783244946,17.07,0.0,0.0,0.0,0.0,0.0,0.0,0.722222222,5.711111111,7,0,0,1.6215,30.136,0,0,0,0
sample_111,394.6,10.42083333,-0.087962963,10.42083333,0.520098668,116.16,104.064,116.0837296,48,0.305256806,-0.465969335,0.465969335,0.305256806,1.5,2.125,2.5,16.53178075,10.34407358,1.948338032,-1.958031775,1.886098828,-2.013585663,5.685956047,-0.142615289,60.92878689,6.405777394,5.437816924,3.808060412,2.964690378,1.55502117,0.75944935,0.75944935,0.437280567,-0.53,50.25226451,7.47,4.624559505,3.652815356,49.83902893,4.736862954,6.9237372,13.34455882,6.420821623,9.531400138,0.0,12.57618725,26.3,0.0,4.736862954,0.0,4.643333333,0.0,0.0,1.423287037,4.267175926,8,0,0,1.3496,31.541,0,0,1,0
sample_112,467.0,10.16157407,-0.671296296,10.16157407,0.606401006,116.16,104.064,116.0837296,48,0.305965805,-0.481026717,0.481026717,0.305965805,1.5,1.875,1.875,16.36643606,10.05002057,2.09726592,-2.020873588,2.051798479,-2.098741959,5.691799932,-0.141412452,74.59772061,6.568914101,5.347025718,3.718744015,2.947116221,1.851657674,1.334839412,1.334839412,0.637915987,-0.53,47.19725257,7.47,3.469267037,1.958669538,49.51971745,5.106527395,13.8474744,12.84164325,0.0,9.901064579,0.0,11.07583268,37.3,0.0,0.0,5.106527395,0.0,8.373240741,0.0,1.483796296,3.782314815,8,1,1,1.5072,31.7078,0,0,0,0
sample_113,478.9,9.87412415,-0.681990741,9.87412415,0.566873204,116.16,104.064,116.0837296,48,0.302839555,-0.48123039,0.48123039,0.302839555,1.5,2.125,2.5,16.36511716,10.19296976,1.922593033,-1.892948636,1.9665586,-1.921055214,5.660110532,-0.136644141,68.92878689,6.405777394,5.183889011,3.77005561,2.988391115,1.850845324,0.994195557,0.994195557,0.526225725,-0.53,48.27551104,7.47,4.624559505,5.47,49.51971745,5.106527395,19.76538045,6.420821623,6.420821623,9.901064579,0.0,11.07583268,37.3,0.0,6.9237372,5.106527395,0.0,8.140104875,0.0,3.277037037,2.057391345,8,1,1,1.6513,31.7778,0,0,0,1
sample_114,389.8,10.12597222,-0.195648148,10.12597222,0.506664867,116.16,104.064,116.0837296,48,0.302132686,-0.465604426,0.465604426,0.302132686,1.625,2.125,2.25,16.53198487,10.24242111,1.941144237,-2.018597533,1.907625352,-2.049352701,5.653417432,-0.141489527,76.59772061,6.568914101,5.600953631,3.625897658,2.759872254,2.196432708,0.619929799,0.619929799,0.284020691,-0.53,40.33920395,7.47,3.469267037,5.47,49.83902893,4.736862954,13.8474744,5.917906046,6.9237372,9.531400138,0.0,12.57618725,26.3,6.9237372,4.736862954,0.0,4.664351852,0.0,0.0,0.0,5.961898148,8,0,0,1.2055,31.471,0,0,1,0
sample_115,407.6,5.634722222,0.53587963,5.634722222,0.486084459,99.177,86.073,99.10479942,42,0.003877844,-0.327711754,0.327711754,0.003877844,1.0,1.571428571,1.857142857,14.61972571,9.965440672,2.057345047,-2.15138452,2.142230262,-2.215536894,4.656433701,0.441315396,46.14170945,5.112884175,4.690234444,3.39384685,3.149829914,2.398090096,1.649829914,1.649829914,1.134166792,-0.04,47.19725257,5.103678161,2.31410722,1.475062751,44.89802114,5.733667477,19.26246487,12.84164325,6.041840829,0.0,0.0,6.041840829,26.02,32.10410811,0.0,5.733667477,0.0,0.0,0.53587963,6.662731481,0.0,7,2,1,1.2778,31.0604,0,0,0,0
sample_116,322.9,2.243055556,0.541666667,2.243055556,0.424482056,86.178,72.066,86.10955045,38,-0.038523118,-0.064883361,0.064883361,0.038523118,1.166666667,1.333333333,1.333333333,14.08746395,9.938033219,2.027634076,-2.121839814,2.156155175,-1.996399463,4.547798331,0.39760394,29.7931939,5.207106781,5.207106781,2.560660172,2.560660172,2.914213562,1.060660172,1.060660172,0.0,0.0,12.16479704,6.0,1.632653061,4.0,40.5639616,0.0,34.11577042,5.414990469,0.0,0.0,0.0,0.0,0.0,6.420821623,27.6949488,0.0,0.0,0.0,0.0,1.270833333,8.9375,6,0,0,2.4425,29.746,0,0,0,0
sample_117,331.1,2.240740741,0.851851852,2.240740741,0.459028278,86.178,72.066,86.10955045,38,-0.044812659,-0.062529132,0.062529132,0.044812659,0.666666667,0.833333333,0.833333333,14.01333452,10.012,1.951629084,-2.049741469,2.052015963,-1.9524813,4.459075191,0.456972857,21.01955001,5.154700538,5.154700538,2.64273441,2.64273441,2.488033872,1.333333333,1.333333333,0.0,0.0,13.60964047,6.0,2.222222222,2.25,40.5639616,0.0,27.6949488,11.83581209,0.0,0.0,0.0,0.0,0.0,0.0,27.6949488,0.0,0.0,0.0,0.0,0.0,8.962962963,6,0,0,2.2984,29.676,0,0,0,0
sample_118,341.9,2.231805556,1.355,2.231805556,0.462954281,86.178,72.066,86.10955045,38,-0.053578702,-0.065382385,0.065382385,0.053578702,0.833333333,1.166666667,1.333333333,13.81562221,10.2098642,1.748868474,-1.85689882,1.948722205,-1.657035798,4.307622205,0.701864202,12.0,4.828427125,4.828427125,2.914213562,2.914213562,1.707106781,0.957106781,0.957106781,0.5,0.0,20.98630086,6.0,5.0,4.0,40.5639616,0.0,39.53076089,0.0,0.0,0.0,0.0,0.0,0.0,25.68328649,13.8474744,0.0,0.0,0.0,0.0,5.536388889,4.463611111,6,0,0,2.5866,29.816,0,0,0,1
sample_119,333.4,2.253472222,0.898148148,2.253472222,0.483890298,86.178,72.066,86.10955045,38,-0.047142635,-0.065372598,0.065372598,0.047142635,1.333333333,1.833333333,1.833333333,13.91556205,10.10992304,1.851316607,-1.954342432,1.999086728,-1.811609039,4.382863992,0.576003154,21.21928095,4.991563832,4.991563832,2.77005561,2.77005561,2.182521985,0.866025404,0.866025404,0.577350269,0.0,14.83446686,6.0,3.2,4.0,40.5639616,0.0,33.61285484,5.917906046,0.0,0.0,0.0,0.0,0.0,12.84164325,20.7712116,0.0,0.0,0.0,0.0,2.706018519,6.729166667,6,0,0,2.4425,29.746,0,0,0,0
sample_12,414.3,9.368055556,-0.74537037,9.368055556,0.490844666,74.079,68.031,74.03677943,30,0.302558437,-0.481237917,0.481237917,0.302558437,2.0,2.2,2.2,16.36502672,10.52003318,1.803877692,-1.714254962,1.667124145,-1.864859568,5.655632416,-0.136112346,40.15772188,4.28445705,3.062568667,2.27005561,1.488391115,0.747291934,0.30245145,0.30245145,0.0,-0.53,9.651484454,4.47,1.758184438,3.47,30.42489111,5.106527395,6.9237372,0.0,6.420821623,9.901064579,0.0,11.07583268,37.3,0.0,0.0,5.106527395,0.0,7.722222222,0.0,0.222222222,1.599537037,5,1,1,0.481,17.9268,0,0,0,0
sample_120,336.4,2.277777778,0.935185185,2.277777778,0.483890298,86.178,72.066,86.10955045,38,-0.04480471,-0.065128474,0.065128474,0.04480471,1.166666667,1.5,1.5,13.94521522,10.08009591,1.881936683,-1.983213103,2.023363028,-1.845444988,4.410076597,0.544063929,19.21928095,4.991563832,4.991563832,2.808060412,2.808060412,1.921668296,1.39384685,1.39384685,0.288675135,0.0,19.80026906,6.0,3.2,2.25,40.5639616,0.0,33.61285484,5.917906046,0.0,0.0,0.0,0.0,0.0,12.84164325,20.7712116,0.0,0.0,0.0,0.0,2.659722222,6.738425926,6,0,0,2.4425,29.746,0,0,0,0
sample_121,341.5,5.25,0.375,5.25,0.51644113,102.177,88.065,102.1044651,44,0.052185621,-0.376143676,0.376143676,0.052185621,0.857142857,1.142857143,1.142857143,16.49500987,10.40764754,1.936106484,-2.088667911,1.926705035,-2.088649795,4.396943928,0.029985942,33.44467836,5.86180732,5.562948829,3.125897658,2.780805598,2.233592343,0.544331054,0.544331054,0.544331054,-0.04,19.09358393,6.96,3.026851632,5.96,45.67750683,4.736862954,0.0,27.6949488,0.0,4.736862954,0.0,12.20793278,9.23,0.0,0.0,4.736862954,5.25,0.0,0.0,0.75,8.166666667,7,0,0,1.8198,31.357,0,0,1,0
sample_122,362.8,5.131944444,0.924444444,5.131944444,0.491869888,102.177,88.065,102.1044651,44,0.04629007,-0.381474012,0.381474012,0.04629007,1.0,1.428571429,1.714285714,16.47275948,10.49070475,1.774252674,-1.948960976,1.810103765,-1.917563926,4.247448375,0.135272616,23.3609904,5.535533906,5.236675415,3.414213562,2.991563832,1.612372436,0.696923425,0.696923425,0.390737207,-0.04,35.50960993,6.96,5.96,5.96,45.67750683,4.736862954,13.8474744,12.84164325,13.21376393,4.736862954,0.0,13.21376393,9.23,0.0,13.8474744,4.736862954,5.131944444,0.0,0.0,2.277777778,6.090277778,7,0,0,1.823,31.401,0,0,1,2
